r,z,pressure,ne
5.712810543,70.93495596,2.9997,2.84E+17
192.8106957,70.53853006,2.9997,5.60E+16
211.0922486,70.47822215,2.9997,2.24E+16
27.60788411,70.38251209,2.9997,2.85E+17
64.46415767,69.68966231,2.9997,2.85E+17
71.28004686,69.6625854,2.9997,2.82E+17
78.11208909,69.613719,2.9997,2.79E+17
57.57601103,69.60789064,2.9997,2.88E+17
84.94191462,69.57790504,2.9997,2.74E+17
91.76368212,69.55717446,2.9997,2.67E+17
98.58068256,69.54227724,2.9997,2.59E+17
105.3997607,69.52849637,2.9997,2.50E+17
112.2283111,69.51423305,2.9997,2.39E+17
119.0745806,69.50233345,2.9997,2.27E+17
125.946023,69.49455738,2.9997,2.14E+17
132.8383115,69.48503678,2.9997,1.99E+17
139.7335898,69.47124474,2.9997,1.83E+17
146.6113346,69.46219977,2.9997,1.66E+17
37.97510727,69.45080124,2.9997,2.90E+17
153.4088017,69.42904461,2.9997,1.50E+17
0,69.35626511,2.9997,2.90E+17
166.8259105,69.34181893,2.9997,1.16E+17
160.1200264,69.33668299,2.9997,1.33E+17
50.89600468,69.2693307,2.9997,2.90E+17
173.3073761,69.06689931,2.9997,1.01E+17
220.6417214,68.84091647,2.9997,7.31E+15
178.5780009,68.61930202,2.9997,8.89E+16
187.3964638,68.16704643,2.9997,6.93E+16
44.3118669,68.03966395,2.9997,2.96E+17
198.8048754,67.73797042,2.9997,4.58E+16
206.5259676,67.45746347,2.9997,3.15E+16
11.10052145,67.37333597,2.9997,2.97E+17
22.11613456,67.27243813,2.9997,2.98E+17
217.461411,67.1792813,2.9997,1.27E+16
32.85158756,67.14465679,2.9997,2.99E+17
222.2186075,66.15001941,2.9997,5.00E+15
223.1947986,66.15001941,2.9997,3.44E+15
224.7458894,66.15001941,2.9997,1.02E+15
225,66.15001941,2.9997,6.98E+14
223.892078,66.15001941,2.9997,2.34E+15
224.3901347,66.15001941,2.9997,1.56E+15
192.894898,65.82728933,2.9997,5.91E+16
182.1131271,65.44846306,2.9997,8.35E+16
54.72719554,64.71859716,2.9997,3.04E+17
61.1097157,64.48303256,2.9997,3.03E+17
49.5000328,64.43953902,2.9997,3.05E+17
67.73432165,64.43236214,2.9997,3.00E+17
74.52950157,64.34685001,2.9997,2.97E+17
81.3597866,64.28289956,2.9997,2.92E+17
88.18239083,64.24619336,2.9997,2.86E+17
94.99461791,64.22570602,2.9997,2.78E+17
101.8054485,64.20936916,2.9997,2.69E+17
170.016467,64.20027667,2.9997,1.14E+17
108.6249602,64.19188908,2.9997,2.58E+17
115.4653951,64.17285557,2.9997,2.46E+17
122.3433319,64.1549558,2.9997,2.33E+17
129.2759673,64.13468611,2.9997,2.18E+17
136.254731,64.09050643,2.9997,2.01E+17
5.541928835,64.07740455,2.9997,3.07E+17
150.1724085,64.07280492,2.9997,1.66E+17
143.228827,64.04962584,2.9997,1.84E+17
16.60568687,63.98426552,2.9997,3.08E+17
156.7799225,63.98020428,2.9997,1.49E+17
163.3392944,63.96294149,2.9997,1.32E+17
213.0078001,63.94698478,2.9997,2.07E+16
27.55082698,63.91253859,2.9997,3.08E+17
38.68940628,63.82718402,2.9997,3.08E+17
176.3487773,63.38005344,2.9997,9.91E+16
200.3202782,62.9745847,2.9997,4.49E+16
187.0551088,62.39917132,2.9997,7.38E+16
220.3905239,60.88867308,2.9997,8.26E+15
0,60.74685042,2.9997,3.14E+17
11.06738978,60.67236825,2.9997,3.14E+17
22.0911926,60.63318709,2.9997,3.15E+17
33.09931681,60.61414097,2.9997,3.15E+17
45.21675379,60.5288876,2.9997,3.14E+17
208.2731655,60.09459231,2.9997,2.99E+16
51.64449727,60.05754467,2.9997,3.13E+17
181.6748565,59.70714033,2.9997,8.77E+16
172.1896189,59.64243917,2.9997,1.11E+17
57.60966825,59.61532601,2.9997,3.13E+17
222.1283981,59.53696714,2.9997,5.35E+15
224.7376478,59.53696714,2.9997,1.03E+15
225,59.53696714,2.9997,6.84E+14
223.1362502,59.53696714,2.9997,3.65E+15
223.8561445,59.53696714,2.9997,2.44E+15
224.3703548,59.53696714,2.9997,1.61E+15
193.2402442,59.43926207,2.9997,6.08E+16
217.5145937,59.34357654,2.9997,1.33E+16
64.10030999,59.31407839,2.9997,3.11E+17
166.9067743,59.19293764,2.9997,1.25E+17
70.87035043,59.14028477,2.9997,3.07E+17
